,Id,MSSubClass,LotFrontage,LotArea,Alley,LandSlope,Neighborhood,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,ExterQual,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,CentralAir,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscVal,MoSold,YrSold,SalePrice,MS_Zoning_group,LotShape_group,LandContour_group,LotConfig_group,Condition1_group,BldgType_group,HouseStyle_group,RoofStyle_group,Exterior1st_group,Exterior2nd_group,MasVnrType_group,ExterCond_group,Foundation_group,BsmtQual_group,BsmtCond_group,HeatingQC_group,Electrical_group,GarageCond_group,SaleType_group,SaleCondition_group
10,11,20,70.0,11200,No_alley_access,Gtl,Sawyer,5,5,1965,1965,0.0,TA,No,Rec,906,Unf,0,134,1040,Y,1040,0,0,1040,1,0,1,0,3,1,TA,5,0,No_fireplace,Detchd,1965.0,Unf,1,384,TA,Y,0,0,0,0,0,0,No_pool,No_fence,0,2,2008,129500,FV/ RL,Reg,Lvl,Inside/Corner,Other,1Fam/TwnhsE,1Story/SLvl,Shed/Flat/Hip/Mansard,Other,Plywood/BrkFace/HdBoard,None/BrkCmn,TA/Ex,Wood/CBlock,TA/Fa,Basement_present,Ex,SBrkr,Garage_present,Other,Normal/Alloca
11,12,60,85.0,11924,No_alley_access,Gtl,NridgHt,9,5,2005,2006,286.0,Ex,No,GLQ,998,Unf,0,177,1175,Y,1182,1142,0,2324,1,0,3,0,4,1,Ex,11,2,Gd,BuiltIn,2005.0,Fin,3,736,TA,Y,147,21,0,0,0,0,No_pool,No_fence,0,7,2006,345000,FV/ RL,Irregular,Lvl,Inside/Corner,Other,1Fam/TwnhsE,2.5Fin/2Story,Shed/Flat/Hip/Mansard,Other,Other,Stone,TA/Ex,PConc,Ex/Gd,Basement_present,Ex,SBrkr,Garage_present,New,Parital
12,13,20,,12968,No_alley_access,Gtl,Sawyer,5,6,1962,1962,0.0,TA,No,ALQ,737,Unf,0,175,912,Y,912,0,0,912,1,0,1,0,2,1,TA,4,0,No_fireplace,Detchd,1962.0,Unf,1,352,TA,Y,140,0,0,0,176,0,No_pool,No_fence,0,9,2008,144000,FV/ RL,Irregular,Lvl,Inside/Corner,Other,1Fam/TwnhsE,1Story/SLvl,Shed/Flat/Hip/Mansard,Other,Plywood/BrkFace/HdBoard,None/BrkCmn,TA/Ex,Wood/CBlock,TA/Fa,Basement_present,TA,SBrkr,Garage_present,Other,Normal/Alloca
13,14,20,91.0,10652,No_alley_access,Gtl,CollgCr,7,5,2006,2007,306.0,Gd,Av,Unf,0,Unf,0,1494,1494,Y,1494,0,0,1494,0,0,2,0,3,1,Gd,7,1,Gd,Attchd,2006.0,RFn,3,840,TA,Y,160,33,0,0,0,0,No_pool,No_fence,0,8,2007,279500,FV/ RL,Irregular,Lvl,Inside/Corner,Other,1Fam/TwnhsE,1Story/SLvl,Gable/Gambrel,ImStucc/Stone/CemntBd/VinylSd,Other/CmentBd/VinylSd/ImStucc/Stone,Stone,TA/Ex,PConc,Ex/Gd,Basement_present,Ex,SBrkr,Garage_present,New,Parital
14,15,20,,10920,No_alley_access,Gtl,NAmes,6,5,1960,1960,212.0,TA,No,BLQ,733,Unf,0,520,1253,Y,1253,0,0,1253,1,0,1,1,2,1,TA,5,1,Fa,Attchd,1960.0,RFn,1,352,TA,Y,0,213,176,0,0,0,No_pool,GdWo,0,5,2008,157000,FV/ RL,Irregular,Lvl,Inside/Corner,Other,1Fam/TwnhsE,1Story/SLvl,Shed/Flat/Hip/Mansard,Other,Other,BrkFace,TA/Ex,Wood/CBlock,TA/Fa,Basement_present,TA,SBrkr,Garage_present,Other,Normal/Alloca
15,16,45,51.0,6120,No_alley_access,Gtl,BrkSide,7,8,1929,2001,0.0,TA,No,Unf,0,Unf,0,832,832,Y,854,0,0,854,0,0,1,0,2,1,TA,5,0,No_fireplace,Detchd,1991.0,Unf,2,576,TA,Y,48,112,0,0,0,0,No_pool,GdPrv,0,7,2007,132000,Other,Reg,Lvl,Inside/Corner,Other,1Fam/TwnhsE,Other,Gable/Gambrel,Other,Other,None/BrkCmn,TA/Ex,Stone/BrkTil/Slab,TA/Fa,Basement_present,Ex,Other,Garage_present,Other,Normal/Alloca
16,17,20,,11241,No_alley_access,Gtl,NAmes,6,7,1970,1970,180.0,TA,No,ALQ,578,Unf,0,426,1004,Y,1004,0,0,1004,1,0,1,0,2,1,TA,5,1,TA,Attchd,1970.0,Fin,2,480,TA,Y,0,0,0,0,0,0,No_pool,No_fence,700,3,2010,149000,FV/ RL,Irregular,Lvl,CulDSac/ FR,Other,1Fam/TwnhsE,1Story/SLvl,Gable/Gambrel,Other,Other,BrkFace,TA/Ex,Wood/CBlock,TA/Fa,Basement_present,Ex,SBrkr,Garage_present,Other,Normal/Alloca
17,18,90,72.0,10791,No_alley_access,Gtl,Sawyer,4,5,1967,1967,0.0,TA,No_basement,No_basement,0,No_basement,0,0,0,Y,1296,0,0,1296,0,0,2,0,2,2,TA,6,0,No_fireplace,CarPort,1967.0,Unf,2,516,TA,Y,0,0,0,0,0,0,No_pool,No_fence,500,10,2006,90000,FV/ RL,Reg,Lvl,Inside/Corner,Other,Duplex/Twnhs/2fmCon,1Story/SLvl,Gable/Gambrel,Other,Other,None/BrkCmn,TA/Ex,Stone/BrkTil/Slab,No_basement,No_basement,TA,SBrkr,Garage_present,Other,Normal/Alloca
18,19,20,66.0,13695,No_alley_access,Gtl,SawyerW,5,5,2004,2004,0.0,TA,No,GLQ,646,Unf,0,468,1114,Y,1114,0,0,1114,1,0,1,1,3,1,Gd,6,0,No_fireplace,Detchd,2004.0,Unf,2,576,TA,Y,0,102,0,0,0,0,No_pool,No_fence,0,6,2008,159000,FV/ RL,Reg,Lvl,Inside/Corner,RRAe/Feedr/Artery,1Fam/TwnhsE,1Story/SLvl,Gable/Gambrel,ImStucc/Stone/CemntBd/VinylSd,Other/CmentBd/VinylSd/ImStucc/Stone,None/BrkCmn,TA/Ex,PConc,TA/Fa,Basement_present,Ex,SBrkr,Garage_present,Other,Normal/Alloca
19,20,20,70.0,7560,No_alley_access,Gtl,NAmes,5,6,1958,1965,0.0,TA,No,LwQ,504,Unf,0,525,1029,Y,1339,0,0,1339,0,0,1,0,3,1,TA,6,0,No_fireplace,Attchd,1958.0,Unf,1,294,TA,Y,0,0,0,0,0,0,No_pool,MnPrv,0,5,2009,139000,FV/ RL,Reg,Lvl,Inside/Corner,Other,1Fam/TwnhsE,1Story/SLvl,Shed/Flat/Hip/Mansard,Other,Plywood/BrkFace/HdBoard,None/BrkCmn,TA/Ex,Wood/CBlock,TA/Fa,Basement_present,TA,SBrkr,Garage_present,Other,
20,21,60,101.0,14215,No_alley_access,Gtl,NridgHt,8,5,2005,2006,380.0,Gd,Av,Unf,0,Unf,0,1158,1158,Y,1158,1218,0,2376,0,0,3,1,4,1,Gd,9,1,Gd,BuiltIn,2005.0,RFn,3,853,TA,Y,240,154,0,0,0,0,No_pool,No_fence,0,11,2006,325300,FV/ RL,Irregular,Lvl,Inside/Corner,Other,1Fam/TwnhsE,2.5Fin/2Story,Gable/Gambrel,ImStucc/Stone/CemntBd/VinylSd,Other/CmentBd/VinylSd/ImStucc/Stone,BrkFace,TA/Ex,PConc,Ex/Gd,Basement_present,Ex,SBrkr,Garage_present,New,Parital
21,22,45,57.0,7449,Grvl,Gtl,IDOTRR,7,7,1930,1950,0.0,TA,No,Unf,0,Unf,0,637,637,Y,1108,0,0,1108,0,0,1,0,3,1,Gd,6,1,Gd,Attchd,1930.0,Unf,1,280,TA,N,0,0,205,0,0,0,No_pool,GdPrv,0,6,2007,139400,Other,Reg,Bnk,Inside/Corner,Other,1Fam/TwnhsE,Other,Gable/Gambrel,Other,Other,None/BrkCmn,TA/Ex,PConc,TA/Fa,Basement_present,Ex,Other,Garage_present,Other,Normal/Alloca
22,23,20,75.0,9742,No_alley_access,Gtl,CollgCr,8,5,2002,2002,281.0,Gd,No,Unf,0,Unf,0,1777,1777,Y,1795,0,0,1795,0,0,2,0,3,1,Gd,7,1,Gd,Attchd,2002.0,RFn,2,534,TA,Y,171,159,0,0,0,0,No_pool,No_fence,0,9,2008,230000,FV/ RL,Reg,Lvl,Inside/Corner,Other,1Fam/TwnhsE,1Story/SLvl,Shed/Flat/Hip/Mansard,ImStucc/Stone/CemntBd/VinylSd,Other/CmentBd/VinylSd/ImStucc/Stone,BrkFace,TA/Ex,PConc,Ex/Gd,Basement_present,Ex,SBrkr,Garage_present,Other,Normal/Alloca
23,24,120,44.0,4224,No_alley_access,Gtl,MeadowV,5,7,1976,1976,0.0,TA,No,GLQ,840,Unf,0,200,1040,Y,1060,0,0,1060,1,0,1,0,3,1,TA,6,1,TA,Attchd,1976.0,Unf,2,572,TA,Y,100,110,0,0,0,0,No_pool,No_fence,0,6,2007,129900,Other,Reg,Lvl,Inside/Corner,Other,1Fam/TwnhsE,1Story/SLvl,Gable/Gambrel,ImStucc/Stone/CemntBd/VinylSd,Other/CmentBd/VinylSd/ImStucc/Stone,None/BrkCmn,TA/Ex,PConc,Ex/Gd,Basement_present,TA,SBrkr,Garage_present,Other,Normal/Alloca
24,25,20,,8246,No_alley_access,Gtl,Sawyer,5,8,1968,2001,0.0,TA,Mn,Rec,188,ALQ,668,204,1060,Y,1060,0,0,1060,1,0,1,0,3,1,Gd,6,1,TA,Attchd,1968.0,Unf,1,270,TA,Y,406,90,0,0,0,0,No_pool,MnPrv,0,5,2010,154000,FV/ RL,Irregular,Lvl,Inside/Corner,Other,1Fam/TwnhsE,1Story/SLvl,Gable/Gambrel,Other,Plywood/BrkFace/HdBoard,None/BrkCmn,Gd/Fa/Po,Wood/CBlock,TA/Fa,Basement_present,Ex,SBrkr,Garage_present,Other,Normal/Alloca
25,26,20,110.0,14230,No_alley_access,Gtl,NridgHt,8,5,2007,2007,640.0,Gd,No,Unf,0,Unf,0,1566,1566,Y,1600,0,0,1600,0,0,2,0,3,1,Gd,7,1,Gd,Attchd,2007.0,RFn,3,890,TA,Y,0,56,0,0,0,0,No_pool,No_fence,0,7,2009,256300,FV/ RL,Reg,Lvl,Inside/Corner,Other,1Fam/TwnhsE,1Story/SLvl,Gable/Gambrel,ImStucc/Stone/CemntBd/VinylSd,Other/CmentBd/VinylSd/ImStucc/Stone,Stone,TA/Ex,PConc,Ex/Gd,Basement_present,Ex,SBrkr,Garage_present,Other,Normal/Alloca
26,27,20,60.0,7200,No_alley_access,Gtl,NAmes,5,7,1951,2000,0.0,TA,Mn,BLQ,234,Rec,486,180,900,Y,900,0,0,900,0,1,1,0,3,1,Gd,5,0,No_fireplace,Detchd,2005.0,Unf,2,576,TA,Y,222,32,0,0,0,0,No_pool,No_fence,0,5,2010,134800,FV/ RL,Reg,Lvl,Inside/Corner,Other,1Fam/TwnhsE,1Story/SLvl,Gable/Gambrel,Other,Other,None/BrkCmn,TA/Ex,Wood/CBlock,TA/Fa,Basement_present,TA,SBrkr,Garage_present,Other,Normal/Alloca
27,28,20,98.0,11478,No_alley_access,Gtl,NridgHt,8,5,2007,2008,200.0,Gd,No,GLQ,1218,Unf,0,486,1704,Y,1704,0,0,1704,1,0,2,0,3,1,Gd,7,1,Gd,Attchd,2008.0,RFn,3,772,TA,Y,0,50,0,0,0,0,No_pool,No_fence,0,5,2010,306000,FV/ RL,Reg,Lvl,Inside/Corner,Other,1Fam/TwnhsE,1Story/SLvl,Gable/Gambrel,ImStucc/Stone/CemntBd/VinylSd,Other/CmentBd/VinylSd/ImStucc/Stone,Stone,TA/Ex,PConc,Ex/Gd,Basement_present,Ex,SBrkr,Garage_present,Other,Normal/Alloca
28,29,20,47.0,16321,No_alley_access,Gtl,NAmes,5,6,1957,1997,0.0,TA,Gd,BLQ,1277,Unf,0,207,1484,Y,1600,0,0,1600,1,0,1,0,2,1,TA,6,2,Gd,Attchd,1957.0,RFn,1,319,TA,Y,288,258,0,0,0,0,No_pool,No_fence,0,12,2006,207500,FV/ RL,Irregular,Lvl,CulDSac/ FR,Other,1Fam/TwnhsE,1Story/SLvl,Gable/Gambrel,Other,Other,None/BrkCmn,TA/Ex,Wood/CBlock,TA/Fa,Basement_present,TA,SBrkr,Garage_present,Other,Normal/Alloca
29,30,30,60.0,6324,No_alley_access,Gtl,BrkSide,4,6,1927,1950,0.0,TA,No,Unf,0,Unf,0,520,520,N,520,0,0,520,0,0,1,0,1,1,Fa,4,0,No_fireplace,Detchd,1920.0,Unf,1,240,Fa,Y,49,0,87,0,0,0,No_pool,No_fence,0,5,2008,68500,Other,Irregular,Lvl,Inside/Corner,RRAe/Feedr/Artery,1Fam/TwnhsE,1Story/SLvl,Gable/Gambrel,Other,Other,None/BrkCmn,TA/Ex,Stone/BrkTil/Slab,TA/Fa,Basement_present,Fa/Po,SBrkr,Garage_present,Other,Normal/Alloca
30,31,70,50.0,8500,Pave,Gtl,IDOTRR,4,4,1920,1950,0.0,TA,No,Unf,0,Unf,0,649,649,N,649,668,0,1317,0,0,1,0,3,1,TA,6,0,No_fireplace,Detchd,1920.0,Unf,1,250,TA,N,0,54,172,0,0,0,No_pool,MnPrv,0,7,2008,40000,Other,Reg,Lvl,Inside/Corner,RRAe/Feedr/Artery,1Fam/TwnhsE,2.5Fin/2Story,Gable/Gambrel,Other,Plywood/BrkFace/HdBoard,None/BrkCmn,Gd/Fa/Po,Stone/BrkTil/Slab,TA/Fa,Basement_present,TA,SBrkr,Garage_present,Other,Normal/Alloca
31,32,20,,8544,No_alley_access,Gtl,Sawyer,5,6,1966,2006,0.0,TA,No,Unf,0,Unf,0,1228,1228,Y,1228,0,0,1228,0,0,1,1,3,1,Gd,6,0,No_fireplace,Attchd,1966.0,Unf,1,271,TA,Y,0,65,0,0,0,0,No_pool,MnPrv,0,6,2008,149350,FV/ RL,Irregular,Lvl,CulDSac/ FR,Other,1Fam/TwnhsE,1Story/SLvl,Gable/Gambrel,Other,Plywood/BrkFace/HdBoard,None/BrkCmn,TA/Ex,Wood/CBlock,TA/Fa,Basement_present,Gd,SBrkr,Garage_present,Other,Normal/Alloca
32,33,20,85.0,11049,No_alley_access,Gtl,CollgCr,8,5,2007,2007,0.0,Gd,Av,Unf,0,Unf,0,1234,1234,Y,1234,0,0,1234,0,0,2,0,3,1,Gd,7,0,No_fireplace,Attchd,2007.0,RFn,2,484,TA,Y,0,30,0,0,0,0,No_pool,No_fence,0,1,2008,179900,FV/ RL,Reg,Lvl,Inside/Corner,Other,1Fam/TwnhsE,1Story/SLvl,Gable/Gambrel,ImStucc/Stone/CemntBd/VinylSd,Other/CmentBd/VinylSd/ImStucc/Stone,None/BrkCmn,TA/Ex,PConc,Ex/Gd,Basement_present,Ex,SBrkr,Garage_present,Other,Normal/Alloca
33,34,20,70.0,10552,No_alley_access,Gtl,NAmes,5,5,1959,1959,0.0,TA,No,Rec,1018,Unf,0,380,1398,Y,1700,0,0,1700,0,1,1,1,4,1,Gd,6,1,Gd,Attchd,1959.0,RFn,2,447,TA,Y,0,38,0,0,0,0,No_pool,No_fence,0,4,2010,165500,FV/ RL,Irregular,Lvl,Inside/Corner,Other,1Fam/TwnhsE,1Story/SLvl,Shed/Flat/Hip/Mansard,Other,Plywood/BrkFace/HdBoard,None/BrkCmn,TA/Ex,Wood/CBlock,TA/Fa,Basement_present,Gd,SBrkr,Garage_present,Other,Normal/Alloca
34,35,120,60.0,7313,No_alley_access,Gtl,NridgHt,9,5,2005,2005,246.0,Ex,No,GLQ,1153,Unf,0,408,1561,Y,1561,0,0,1561,1,0,2,0,2,1,Ex,6,1,Gd,Attchd,2005.0,Fin,2,556,TA,Y,203,47,0,0,0,0,No_pool,No_fence,0,8,2007,277500,FV/ RL,Reg,Lvl,Inside/Corner,Other,1Fam/TwnhsE,1Story/SLvl,Shed/Flat/Hip/Mansard,Other,Other,BrkFace,TA/Ex,PConc,Ex/Gd,Basement_present,Ex,SBrkr,Garage_present,Other,Normal/Alloca
35,36,60,108.0,13418,No_alley_access,Gtl,NridgHt,8,5,2004,2005,132.0,Gd,Av,Unf,0,Unf,0,1117,1117,Y,1132,1320,0,2452,0,0,3,1,4,1,Gd,9,1,Gd,BuiltIn,2004.0,Fin,3,691,TA,Y,113,32,0,0,0,0,No_pool,No_fence,0,9,2006,309000,FV/ RL,Reg,Lvl,Inside/Corner,Other,1Fam/TwnhsE,2.5Fin/2Story,Gable/Gambrel,ImStucc/Stone/CemntBd/VinylSd,Other/CmentBd/VinylSd/ImStucc/Stone,Stone,TA/Ex,PConc,Ex/Gd,Basement_present,Ex,SBrkr,Garage_present,Other,Normal/Alloca
36,37,20,112.0,10859,No_alley_access,Gtl,CollgCr,5,5,1994,1995,0.0,TA,No,Unf,0,Unf,0,1097,1097,Y,1097,0,0,1097,0,0,1,1,3,1,TA,6,0,No_fireplace,Attchd,1995.0,Unf,2,672,TA,Y,392,64,0,0,0,0,No_pool,No_fence,0,6,2009,145000,FV/ RL,Reg,Lvl,Inside/Corner,Other,1Fam/TwnhsE,1Story/SLvl,Gable/Gambrel,ImStucc/Stone/CemntBd/VinylSd,Other/CmentBd/VinylSd/ImStucc/Stone,None/BrkCmn,TA/Ex,PConc,Ex/Gd,Basement_present,Ex,SBrkr,Garage_present,Other,Normal/Alloca
37,38,20,74.0,8532,No_alley_access,Gtl,NAmes,5,6,1954,1990,650.0,TA,No,Rec,1213,Unf,0,84,1297,Y,1297,0,0,1297,0,1,1,0,3,1,TA,5,1,TA,Attchd,1954.0,Fin,2,498,TA,Y,0,0,0,0,0,0,No_pool,No_fence,0,10,2009,153000,FV/ RL,Reg,Lvl,Inside/Corner,Other,1Fam/TwnhsE,1Story/SLvl,Shed/Flat/Hip/Mansard,Other,Other,BrkFace,TA/Ex,Wood/CBlock,TA/Fa,Basement_present,Gd,SBrkr,Garage_present,Other,Normal/Alloca
38,39,20,68.0,7922,No_alley_access,Gtl,NAmes,5,7,1953,2007,0.0,TA,No,GLQ,731,Unf,0,326,1057,Y,1057,0,0,1057,1,0,1,0,3,1,Gd,5,0,No_fireplace,Detchd,1953.0,Unf,1,246,TA,Y,0,52,0,0,0,0,No_pool,No_fence,0,1,2010,109000,FV/ RL,Reg,Lvl,Inside/Corner,Other,1Fam/TwnhsE,1Story/SLvl,Gable/Gambrel,ImStucc/Stone/CemntBd/VinylSd,Other/CmentBd/VinylSd/ImStucc/Stone,None/BrkCmn,Gd/Fa/Po,Wood/CBlock,TA/Fa,Basement_present,TA,SBrkr,Garage_present,Other,
39,40,90,65.0,6040,No_alley_access,Gtl,Edwards,4,5,1955,1955,0.0,TA,No_basement,No_basement,0,No_basement,0,0,0,N,1152,0,0,1152,0,0,2,0,2,2,Fa,6,0,No_fireplace,No_garage,,No_garage,0,0,No_garage,N,0,0,0,0,0,0,No_pool,No_fence,0,6,2008,82000,FV/ RL,Reg,Lvl,Inside/Corner,Other,Duplex/Twnhs/2fmCon,1Story/SLvl,Gable/Gambrel,Other,Plywood/BrkFace/HdBoard,None/BrkCmn,TA/Ex,PConc,No_basement,No_basement,TA,Other,,Other,Family/Abnormal/AdjLand
40,41,20,84.0,8658,No_alley_access,Gtl,NAmes,6,5,1965,1965,101.0,TA,No,Rec,643,Unf,0,445,1088,Y,1324,0,0,1324,0,0,2,0,3,1,TA,6,1,TA,Attchd,1965.0,RFn,2,440,TA,Y,0,138,0,0,0,0,No_pool,GdWo,0,12,2006,160000,FV/ RL,Reg,Lvl,Inside/Corner,Other,1Fam/TwnhsE,1Story/SLvl,Gable/Gambrel,Other,Other,BrkFace,TA/Ex,Wood/CBlock,TA/Fa,Basement_present,Ex,SBrkr,Garage_present,Other,
